"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.133926717E1,5.363011956E-1,4.364629745E0,8.726864815E0,9.772194292E0
3.134209417E1,5.339069963E-1,4.357447147E0,8.738836288E0,9.779553262E0
3.134337336E1,5.506663918E-1,4.328716755E0,8.781931877E0,9.806291333E0
3.134644140E1,5.578489900E-1,4.304774761E0,8.813055992E0,9.824064188E0
3.134753436E1,5.602431893E-1,4.299986362E0,8.834604263E0,9.841442356E0
3.135088794E1,5.698199868E-1,4.304774761E0,8.868123055E0,9.874177792E0
3.135152932E1,5.602431893E-1,4.326322556E0,8.901641846E0,9.913131031E0
3.135498823E1,5.506663918E-1,4.321534157E0,8.918401718E0,9.925561956E0
3.135617086E1,5.363011956E-1,4.323928356E0,8.913613319E0,9.921515903E0
3.135851702E1,5.386953950E-1,4.323928356E0,8.942343712E0,9.947465015E0
3.135974282E1,5.410895944E-1,4.302380562E0,8.951920509E0,9.946865700E0
3.136274409E1,5.386953950E-1,4.299986362E0,8.956708908E0,9.950010548E0
3.136380278E1,5.363011956E-1,4.307168961E0,8.978256226E0,9.972382277E0
3.136667455E1,5.458779931E-1,4.314351559E0,9.018958092E0,1.001265286E1
3.136785948E1,5.458779931E-1,4.311957359E0,9.033323288E0,1.002456426E1
3.137081644E1,5.339069963E-1,4.319139957E0,9.035717010E0,1.002916789E1
3.137189209E1,5.363011956E-1,4.331110954E0,9.066842079E0,1.006249305E1
3.137484267E1,5.458779931E-1,4.321534157E0,9.095572472E0,1.008479444E1
3.137646482E1,5.554547906E-1,4.309563160E0,9.088389397E0,1.007371265E1
3.137865036E1,5.554547906E-1,4.299986362E0,9.093177795E0,1.007394139E1
3.138053409E1,5.578489900E-1,4.297592163E0,9.095572472E0,1.007521377E1
3.138312028E1,5.458779931E-1,4.297592163E0,9.069235802E0,1.005078699E1
